timestamp,features,method,guide_bands,time_pool,fit_steps,epochs,lr,seed,n_test,test_miou,test_overall_acc,eval_sec
2026-08-05T14:14:46,oe_base_s2_ps4_tile64,lr_bilinear,,,,32,0.01,0,1984,0.5057,0.7945,3.5
2026-08-05T14:42:18,oe_base_s2_ps4_tile64,upa,,mean,50,32,0.01,0,1984,0.437,0.7545,1651.2
2026-08-05T15:09:45,oe_base_s2_ps4_tile64,upma,surface,mean,50,32,0.01,0,1984,0.4926,0.7849,1647.4
2026-08-05T15:10:11,oe_base_s2_ps4_tile64,anyup,,mean,,32,0.01,0,1984,0.5165,0.7999,25.7
2026-08-11T01:30:36,oe_base_s2_ps16_tile64,lr_bilinear,,,,32,0.01,0,64,0.3424,0.6577,0.1
2026-08-11T01:31:34,oe_base_s2_ps16_tile64,upa,,mean,50,32,0.01,0,64,0.248,0.5542,57.5
2026-08-11T01:32:32,oe_base_s2_ps16_tile64,upma,surface,50,32,0.01,0,64,0.3136,0.6152,57.8
2026-08-11T01:32:32,oe_base_s2_ps16_tile64,anyup,,,32,0.01,0,64,0.3723,0.6744,0.8
2026-08-11T01:37:06,oe_base_s2_ps16_tile64,lr_bilinear,,,,32,0.01,0,1984,0.3258,0.6826,0.9
2026-08-11T02:06:08,oe_base_s2_ps16_tile64,upa,,mean,50,32,0.01,0,1984,0.2432,0.6172,1742.1
2026-08-11T02:07:11,oe_base_s2_ps16_tile64,upa,,mean,50,32,0.01,0,64,0.2481,0.5542,56.5
2026-08-11T02:35:21,oe_base_s2_ps16_tile64,upma,surface,mean,50,32,0.01,0,1984,0.3021,0.6634,1753.2
2026-08-11T02:35:39,oe_base_s2_ps16_tile64,anyup,,mean,,32,0.01,0,1984,0.3541,0.6972,18.2
2026-08-11T02:40:38,oe_base_s2_ps16_tile64,upa,,mean,50,32,0.01,0,1984,0.2431,0.6172,1746.5
